armLength 	0.2 	slingLength 	3.4000000000000017 	9.184900842084186
armLength 	0.2 	slingLength 	3.5000000000000018 	10.217914565133436
armLength 	0.2 	slingLength 	3.600000000000002 	11.52842649893722
armLength 	0.2 	slingLength 	3.700000000000002 	17.328602126841368
armLength 	0.2 	slingLength 	3.800000000000002 	28.467753312038692
armLength 	0.2 	slingLength 	3.900000000000002 	34.34703406924765
armLength 	0.2 	slingLength 	4.000000000000002 	0.0
armLength 	0.2 	slingLength 	4.100000000000001 	0.0
armLength 	0.2 	slingLength 	4.200000000000001 	0.0
armLength 	0.2 	slingLength 	4.300000000000001 	0.0
armLength 	0.2 	slingLength 	4.4 	0.0
armLength 	0.2 	slingLength 	4.5 	0.0
armLength 	0.2 	slingLength 	4.6 	0.0
armLength 	0.2 	slingLength 	4.699999999999999 	0.0
armLength 	0.2 	slingLength 	4.799999999999999 	0.0
armLength 	0.2 	slingLength 	4.899999999999999 	0.0
armLength 	0.2 	slingLength 	4.999999999999998 	0.0
armLength 	0.2 	slingLength 	5.099999999999998 	0.0
armLength 	0.2 	slingLength 	5.1999999999999975 	0.0
armLength 	0.2 	slingLength 	5.299999999999997 	0.0
armLength 	0.2 	slingLength 	5.399999999999997 	0.0
armLength 	0.2 	slingLength 	5.4999999999999964 	0.0
armLength 	0.2 	slingLength 	5.599999999999996 	0.0
armLength 	0.2 	slingLength 	5.699999999999996 	0.0
armLength 	0.2 	slingLength 	5.799999999999995 	0.0
armLength 	0.2 	slingLength 	5.899999999999995 	0.0
armLength 	0.2 	slingLength 	5.999999999999995 	0.0
armLength 	0.2 	slingLength 	6.099999999999994 	0.0
armLength 	0.2 	slingLength 	6.199999999999994 	0.0
armLength 	0.2 	slingLength 	6.299999999999994 	0.0
armLength 	0.2 	slingLength 	6.399999999999993 	0.0
armLength 	0.2 	slingLength 	6.499999999999993 	0.0
armLength 	0.2 	slingLength 	6.5999999999999925 	0.0
armLength 	0.2 	slingLength 	6.699999999999992 	0.0
armLength 	0.2 	slingLength 	6.799999999999992 	0.0
armLength 	0.2 	slingLength 	6.8999999999999915 	0.0
armLength 	0.2 	slingLength 	6.999999999999991 	0.0

armLength 	0.30000000000000004 	slingLength 	0.1 	5.187380155002475
armLength 	0.30000000000000004 	slingLength 	0.2 	4.18277681010903
armLength 	0.30000000000000004 	slingLength 	0.30000000000000004 	0.33571773099072716
armLength 	0.30000000000000004 	slingLength 	0.4 	43.165387291641046
armLength 	0.30000000000000004 	slingLength 	0.5 	23.964440028506502
armLength 	0.30000000000000004 	slingLength 	0.6 	1.0022591360581254
armLength 	0.30000000000000004 	slingLength 	0.7 	1.7314299981949637
armLength 	0.30000000000000004 	slingLength 	0.7999999999999999 	0.0
armLength 	0.30000000000000004 	slingLength 	0.8999999999999999 	0.0
armLength 	0.30000000000000004 	slingLength 	0.9999999999999999 	18.031344683928495
armLength 	0.30000000000000004 	slingLength 	1.0999999999999999 	38.902384638204964
armLength 	0.30000000000000004 	slingLength 	1.2 	8.238093358731886
armLength 	0.30000000000000004 	slingLength 	1.3 	0.0
armLength 	0.30000000000000004 	slingLength 	1.4000000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	1.5000000000000002 	35.67418678599062
armLength 	0.30000000000000004 	slingLength 	1.6000000000000003 	136.3683813159179
armLength 	0.30000000000000004 	slingLength 	1.7000000000000004 	74.14086891265418
armLength 	0.30000000000000004 	slingLength 	1.8000000000000005 	42.087452060362224
armLength 	0.30000000000000004 	slingLength 	1.9000000000000006 	19.214054670670972
armLength 	0.30000000000000004 	slingLength 	2.0000000000000004 	0.0
armLength 	0.30000000000000004 	slingLength 	2.1000000000000005 	0.0
armLength 	0.30000000000000004 	slingLength 	2.2000000000000006 	0.0
armLength 	0.30000000000000004 	slingLength 	2.3000000000000007 	0.0
armLength 	0.30000000000000004 	slingLength 	2.400000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	2.500000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	2.600000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	2.700000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	2.800000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	2.9000000000000012 	0.0
armLength 	0.30000000000000004 	slingLength 	3.0000000000000013 	0.0
armLength 	0.30000000000000004 	slingLength 	3.1000000000000014 	0.0
armLength 	0.30000000000000004 	slingLength 	3.2000000000000015 	0.0
armLength 	0.30000000000000004 	slingLength 	3.3000000000000016 	0.0
armLength 	0.30000000000000004 	slingLength 	3.4000000000000017 	0.0
armLength 	0.30000000000000004 	slingLength 	3.5000000000000018 	0.0
armLength 	0.30000000000000004 	slingLength 	3.600000000000002 	0.0
armLength 	0.30000000000000004 	slingLength 	3.700000000000002 	0.0
armLength 	0.30000000000000004 	slingLength 	3.800000000000002 	0.0
armLength 	0.30000000000000004 	slingLength 	3.900000000000002 	0.0
armLength 	0.30000000000000004 	slingLength 	4.000000000000002 	0.0
armLength 	0.30000000000000004 	slingLength 	4.100000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	4.200000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	4.300000000000001 	0.0
armLength 	0.30000000000000004 	slingLength 	4.4 	0.0
armLength 	0.30000000000000004 	slingLength 	4.5 	0.0
armLength 	0.30000000000000004 	slingLength 	4.6 	0.0
armLength 	0.30000000000000004 	slingLength 	4.699999999999999 	0.0
armLength 	0.30000000000000004 	slingLength 	4.799999999999999 	6.33921975796198
armLength 	0.30000000000000004 	slingLength 	4.899999999999999 	0.0
armLength 	0.30000000000000004 	slingLength 	4.999999999999998 	0.0
armLength 	0.30000000000000004 	slingLength 	5.099999999999998 	0.0
armLength 	0.30000000000000004 	slingLength 	5.1999999999999975 	0.0
armLength 	0.30000000000000004 	slingLength 	5.299999999999997 	0.0
armLength 	0.30000000000000004 	slingLength 	5.399999999999997 	0.0
armLength 	0.30000000000000004 	slingLength 	5.4999999999999964 	0.0
armLength 	0.30000000000000004 	slingLength 	5.599999999999996 	0.0
armLength 	0.30000000000000004 	slingLength 	5.699999999999996 	0.0
armLength 	0.30000000000000004 	slingLength 	5.799999999999995 	0.0
armLength 	0.30000000000000004 	slingLength 	5.899999999999995 	0.0
armLength 	0.30000000000000004 	slingLength 	5.999999999999995 	0.0
armLength 	0.30000000000000004 	slingLength 	6.099999999999994 	0.0
armLength 	0.30000000000000004 	slingLength 	6.199999999999994 	0.0
armLength 	0.30000000000000004 	slingLength 	6.299999999999994 	0.0
armLength 	0.30000000000000004 	slingLength 	6.399999999999993 	0.0
armLength 	0.30000000000000004 	slingLength 	6.499999999999993 	0.0
armLength 	0.30000000000000004 	slingLength 	6.5999999999999925 	0.0
armLength 	0.30000000000000004 	slingLength 	6.699999999999992 	0.0
armLength 	0.30000000000000004 	slingLength 	6.799999999999992 	0.0
armLength 	0.30000000000000004 	slingLength 	6.8999999999999915 	0.0
armLength 	0.30000000000000004 	slingLength 	6.999999999999991 	0.0

armLength 	0.4 	slingLength 	0.1 	2.6866258791072575
armLength 	0.4 	slingLength 	0.2 	21.224009094624233
armLength 	0.4 	slingLength 	0.30000000000000004 	12.533900004272098
armLength 	0.4 	slingLength 	0.4 	0.7896739563511421
armLength 	0.4 	slingLength 	0.5 	0.026588025513514482
armLength 	0.4 	slingLength 	0.6 	37.06595035439086
armLength 	0.4 	slingLength 	0.7 	107.33625590315332
armLength 	0.4 	slingLength 	0.7999999999999999 	1.257995383797811
armLength 	0.4 	slingLength 	0.8999999999999999 	2.0334851730725205
armLength 	0.4 	slingLength 	0.9999999999999999 	0.7570144175022733
armLength 	0.4 	slingLength 	1.0999999999999999 	0.0
armLength 	0.4 	slingLength 	1.2 	0.7933135122357745
armLength 	0.4 	slingLength 	1.3 	6.379949331761167
armLength 	0.4 	slingLength 	1.4000000000000001 	52.47434528764629
