armLength 	0.2 	slingLength 	2.600000000000001 	0.0
armLength 	0.2 	slingLength 	2.700000000000001 	0.0
armLength 	0.2 	slingLength 	2.800000000000001 	3.203715201904494
armLength 	0.2 	slingLength 	2.9000000000000012 	0.0
armLength 	0.2 	slingLength 	3.0000000000000013 	0.0
armLength 	0.2 	slingLength 	3.1000000000000014 	0.0
armLength 	0.2 	slingLength 	3.2000000000000015 	0.0
armLength 	0.2 	slingLength 	3.3000000000000016 	0.0
armLength 	0.2 	slingLength 	3.4000000000000017 	0.0
armLength 	0.2 	slingLength 	3.5000000000000018 	0.0
armLength 	0.2 	slingLength 	3.600000000000002 	0.0
armLength 	0.2 	slingLength 	3.700000000000002 	0.0
armLength 	0.2 	slingLength 	3.800000000000002 	0.0
armLength 	0.2 	slingLength 	3.900000000000002 	0.0
armLength 	0.2 	slingLength 	4.000000000000002 	0.0
armLength 	0.2 	slingLength 	4.100000000000001 	0.0
armLength 	0.2 	slingLength 	4.200000000000001 	0.0
armLength 	0.2 	slingLength 	4.300000000000001 	0.0
armLength 	0.2 	slingLength 	4.4 	0.0
armLength 	0.2 	slingLength 	4.5 	0.0
armLength 	0.2 	slingLength 	4.6 	0.0
armLength 	0.2 	slingLength 	4.699999999999999 	0.0
armLength 	0.2 	slingLength 	4.799999999999999 	0.0
armLength 	0.2 	slingLength 	4.899999999999999 	0.0
armLength 	0.2 	slingLength 	4.999999999999998 	0.0
armLength 	0.2 	slingLength 	5.099999999999998 	0.0
armLength 	0.2 	slingLength 	5.1999999999999975 	0.0
armLength 	0.2 	slingLength 	5.299999999999997 	0.0
armLength 	0.2 	slingLength 	5.399999999999997 	0.0
armLength 	0.2 	slingLength 	5.4999999999999964 	0.0
armLength 	0.2 	slingLength 	5.599999999999996 	0.0
armLength 	0.2 	slingLength 	5.699999999999996 	0.0
armLength 	0.2 	slingLength 	5.799999999999995 	0.0
armLength 	0.2 	slingLength 	5.899999999999995 	0.0
armLength 	0.2 	slingLength 	5.999999999999995 	0.0
armLength 	0.2 	slingLength 	6.099999999999994 	0.0
armLength 	0.2 	slingLength 	6.199999999999994 	0.0
armLength 	0.2 	slingLength 	6.299999999999994 	0.0
armLength 	0.2 	slingLength 	6.399999999999993 	0.0
armLength 	0.2 	slingLength 	6.499999999999993 	0.0
armLength 	0.2 	slingLength 	6.5999999999999925 	0.0
armLength 	0.2 	slingLength 	6.699999999999992 	0.0
armLength 	0.2 	slingLength 	6.799999999999992 	0.0
armLength 	0.2 	slingLength 	6.8999999999999915 	0.0
armLength 	0.2 	slingLength 	6.999999999999991 	0.0
armLength 	0.2 	slingLength 	7.099999999999991 	0.0
armLength 	0.2 	slingLength 	7.19999999999999 	0.0
armLength 	0.2 	slingLength 	7.29999999999999 	0.0
armLength 	0.2 	slingLength 	7.39999999999999 	0.0
armLength 	0.2 	slingLength 	7.499999999999989 	0.0
armLength 	0.2 	slingLength 	7.599999999999989 	0.0
armLength 	0.2 	slingLength 	7.699999999999989 	0.0
armLength 	0.2 	slingLength 	7.799999999999988 	0.0
armLength 	0.2 	slingLength 	7.899999999999988 	0.0
armLength 	0.2 	slingLength 	7.999999999999988 	0.0

armLength 	0.30000000000000004 	slingLength 	0.0 	254.3867087143677
armLength 	0.30000000000000004 	slingLength 	0.1 	256.5376538115917
