armLength 	20.0 	slingLength 	13.0 	754.9920344018376
armLength 	20.0 	slingLength 	13.1 	764.2355546804832
armLength 	20.0 	slingLength 	13.2 	771.3613567219577
armLength 	20.0 	slingLength 	13.299999999999999 	778.2156121567913
armLength 	20.0 	slingLength 	13.399999999999999 	784.5131943304724
armLength 	20.0 	slingLength 	13.499999999999998 	789.3764058841487
armLength 	20.0 	slingLength 	13.599999999999998 	796.4874567815991
armLength 	20.0 	slingLength 	13.699999999999998 	804.0471753436898
armLength 	20.0 	slingLength 	13.799999999999997 	810.8383252492524
armLength 	20.0 	slingLength 	13.899999999999997 	812.9006132285679
armLength 	20.0 	slingLength 	13.999999999999996 	820.4357286454741
armLength 	20.0 	slingLength 	14.099999999999996 	827.023380336606
armLength 	20.0 	slingLength 	14.199999999999996 	826.3517827492899
armLength 	20.0 	slingLength 	14.299999999999995 	831.67530853369
armLength 	20.0 	slingLength 	14.399999999999995 	837.5928318104371
armLength 	20.0 	slingLength 	14.499999999999995 	839.6319152700527
armLength 	20.0 	slingLength 	14.599999999999994 	844.7183448877595
armLength 	20.0 	slingLength 	14.699999999999994 	845.8522031532821
armLength 	20.0 	slingLength 	14.799999999999994 	849.0664302736147
armLength 	20.0 	slingLength 	14.899999999999993 	847.5702144884245
armLength 	20.0 	slingLength 	14.999999999999993 	852.6614217319046
armLength 	20.0 	slingLength 	15.099999999999993 	851.3965101989927
armLength 	20.0 	slingLength 	15.199999999999992 	849.2070523791355
armLength 	20.0 	slingLength 	15.299999999999992 	849.4789259649107
armLength 	20.0 	slingLength 	15.399999999999991 	848.8197501961679
armLength 	20.0 	slingLength 	15.499999999999991 	851.2218561912279
armLength 	20.0 	slingLength 	15.59999999999999 	844.5099866032479
armLength 	20.0 	slingLength 	15.69999999999999 	770.7028001690367
armLength 	20.0 	slingLength 	15.79999999999999 	714.2404639522575
armLength 	20.0 	slingLength 	15.89999999999999 	696.734721801475
armLength 	20.0 	slingLength 	15.99999999999999 	615.957666065392
armLength 	20.0 	slingLength 	16.09999999999999 	580.1802764803675
armLength 	20.0 	slingLength 	16.199999999999992 	568.43283453466
armLength 	20.0 	slingLength 	16.299999999999994 	510.66673696426534
armLength 	20.0 	slingLength 	16.399999999999995 	470.36177926956384
armLength 	20.0 	slingLength 	16.499999999999996 	449.7524280449824
armLength 	20.0 	slingLength 	16.599999999999998 	384.72712572394437
armLength 	20.0 	slingLength 	16.7 	358.59012076284074
armLength 	20.0 	slingLength 	16.8 	328.6500788284216
armLength 	20.0 	slingLength 	16.900000000000002 	305.2030512256941
armLength 	20.0 	slingLength 	17.000000000000004 	262.6575061547442
armLength 	20.0 	slingLength 	17.100000000000005 	245.28128358019094
armLength 	20.0 	slingLength 	17.200000000000006 	213.50157014426648
armLength 	20.0 	slingLength 	17.300000000000008 	195.61076812172402
armLength 	20.0 	slingLength 	17.40000000000001 	194.66803959072828
armLength 	20.0 	slingLength 	17.50000000000001 	165.47437856392864
armLength 	20.0 	slingLength 	17.600000000000012 	161.84449907330523
armLength 	20.0 	slingLength 	17.700000000000014 	0.0
armLength 	20.0 	slingLength 	17.800000000000015 	116.3813235855641
armLength 	20.0 	slingLength 	17.900000000000016 	83.456285814037

armLength 	20.1 	slingLength 	13.0 	748.8100377733258
